Course Title,Rating,Provider,Level,Reviews,Type,Duration / Weeks
"Start the UX Design Process: Empathize, Define, and Ideate",4.8,Google,Beginner,15000.0,Course,1 - 4
Architecting with Google Compute Engine,4.7,Google Cloud,Intermediate,57000.0,Specialization,12 - 24
Fintech: Foundations & Applications of Financial Technology,4.6,University of Pennsylvania,Beginner,3600.0,Specialization,12 - 24
Getting started with Google Workspace,4.7,Google Cloud,Beginner,1700.0,Specialization,12 - 24
Entrepreneurship,4.8,University of Pennsylvania,Beginner,5500.0,Specialization,12 - 24
Business Analytics with Excel: Elementary to Advanced,4.7,Johns Hopkins University,Intermediate,2500.0,Course,4 - 12
Regulatory Compliance,4.8,University of Pennsylvania,Intermediate,2300.0,Specialization,12 - 24
Learn SQL Basics for Data Science,4.6,"University of California, Davis",Beginner,17000.0,Specialization,12 - 24
Introduction to Programming with Python and Java,4.4,University of Pennsylvania,Beginner,1600.0,Specialization,12 - 24
Improve Your English Communication Skills,4.7,Georgia Institute of Technology,Beginner,26000.0,Specialization,12 - 24
"Unsupervised Learning, Recommenders, Reinforcement Learning",4.9,DeepLearning.AI,Beginner,3300.0,Course,1 - 4
Construction Management,4.7,Columbia University,Beginner,8700.0,Specialization,12 - 24
Search Engine Optimization (SEO),4.6,"University of California, Davis",Beginner,13000.0,Specialization,12 - 24
Supply Chain Management,4.7,Rutgers the State University of New Jersey,Beginner,14000.0,Specialization,12 - 24
Pharmacy Technician Fundamentals,4.8,MedCerts,Beginner,599.0,Specialization,12 - 24
Preparing for Google Cloud Certification: Cloud Developer,4.7,Google Cloud,Intermediate,48000.0,Professional Certificate,12 - 24
Google Cloud Database Engineer,4.7,Google Cloud,Intermediate,48000.0,Specialization,12 - 24
AWS Cloud Solutions Architect,4.8,Amazon Web Services,Intermediate,5700.0,Professional Certificate,12 - 24
AWS Fundamentals,4.8,Amazon Web Services,Beginner,5500.0,Specialization,4 - 12
Data Structures and Algorithms,4.6,University of California San Diego,Intermediate,16000.0,Specialization,12 - 24
Analyze Data to Answer Questions,4.6,Google,Beginner,11000.0,Course,1 - 4
Preparing for Google Cloud Certification: Cloud Security Engineer,4.7,Google Cloud,Intermediate,49000.0,Professional Certificate,12 - 24
Salesforce Sales Operations,4.6,Salesforce,Beginner,1500.0,Professional Certificate,12 - 24
Microsoft Project Management,4.5,Microsoft,Beginner,83.0,Professional Certificate,12 - 24
Tableau Business Intelligence Analyst,4.7,Tableau Learning Partner,Beginner,552.0,Professional Certificate,12 - 24
Google Cloud Data Analytics,4.7,Google Cloud,Beginner,46.0,Professional Certificate,12 - 24
Foundations of Management,4.8,IESE Business School,Beginner,4900.0,Specialization,12 - 24
